EutecticComp,EutecticAngle,Radius1,Radius2
33.28228786,48.09,201,157
24.56006046,62.16,201,157
2.483977202,50.96,201,157
0,0,201,157
10.66188631,49.76,201,126
74.48242989,113.9,201,126
0,0,201,126
0,0,201,126
0,0,201,126
83.92036815,87.126,201,134
0,0,201,134
0,0,201,134
0,0,201,134
0,0,201,134
84.00848326,98.13,201,126
0,0,201,126
0,0,201,126
0,0,201,126
0,0,201,126
27.10601796,72.234,157,174
97.47278459,97.8,157,174
0,0,157,174
0,0,157,174
0,0,157,174
22.47184223,70.5,157,187
58.21915298,70.5,157,187
75.79110833,62.2,157,187
0,0,157,187
0,0,157,187
68.9295586,143.2,157,155
0,0,157,155
0,0,157,155
0,0,157,155
0,0,157,155
27.13484376,92.256,157,172
0,0,157,172
0,0,157,172
0,0,157,172
0,0,157,172
38.49528958,50,125,174
0,0,125,174
0,0,125,174
0,0,125,174
0,0,125,174
89.01844903,87.338,125,158
56.48403422,94,125,158
13.74881684,34.5,125,158
0,0,125,158
0,0,125,158
39.63033665,28.8,125,177
33.05977669,32.7,125,177
0,0,125,177
0,0,125,177
0,0,125,177
90.06600719,55.869,126,175
71.07251709,43,126,175
60.54170858,45.7,126,175
29.39293195,39.7,126,175
0,0,126,175
90.52449191,102.4,126,175
60.72011908,46.6,126,175
36.30438038,84.4,126,175
30.51666881,44,126,175
0,0,126,175
92.29256899,139,126,158
67.04000841,136,126,158
61.44542121,109,126,158
56.3633646,50,126,158
26.73935733,101,126,158
90.8742557,94.57,126,187
74.65355843,71.565,126,187
29.39662069,62,126,187
0,0,126,187
0,0,126,187
95.57824741,116.45,126,140
70.41512045,61.1,126,140
28.99566157,91.4,126,140
0,0,126,140
0,0,126,140
86.66627975,90.174,175,174
0,0,175,174
0,0,175,174
0,0,175,174
0,0,175,174
94.46349486,89.81,196,174
55.52692292,81.31,196,174
29.75154962,70.307,196,174
0,0,196,174
0,0,196,174
83.52905654,85.775,196,139
0,0,196,139
0,0,196,139
0,0,196,139
0,0,196,139
20.544775,56.65,125,178
0,0,125,178
0,0,125,178
0,0,125,178
0,0,125,178
24.02388825,32,125,180
0,0,125,180
0,0,125,180
0,0,125,180
0,0,125,180
92.93666616,132.87,125,178
45.97607932,64,125,178
0,0,125,178
0,0,125,178
0,0,125,178
82.19850697,77.7,125,158
32.62082389,40.4,125,158
0,0,125,158
0,0,125,158
0,0,125,158
23.99992283,40,125,158
90.18115847,95,125,158
0,0,125,158
0,0,125,158
0,0,125,158
24.58365296,61,134,223
0,0,134,223
0,0,134,223
0,0,134,223
0,0,134,223
20.03805,45.6,134,174
0,0,134,174
0,0,134,174
0,0,134,174
0,0,134,174
19.75817592,26,134,187
0,0,134,187
0,0,134,187
0,0,134,187
0,0,134,187
18.61705364,54,134,212
0,0,134,212
0,0,134,212
0,0,134,212
0,0,134,212
25.83397264,80.91,114,144
0,0,114,144
0,0,114,144
0,0,114,144
0,0,114,144
12.07407114,63.9,114,187
51.822042,36.8,114,187
83.7929248,91,114,187
0,0,114,187
0,0,114,187
63.97941711,122,114,142
46.99304457,72,114,142
18.99825152,21,114,142
0,0,114,142
0,0,114,142
36.45191681,33.8,114,139
0,0,114,139
0,0,114,139
0,0,114,139
0,0,114,139
15.00154885,70,114,140
0,0,114,140
0,0,114,140
0,0,114,140
0,0,114,140
91.44766026,112.683,152,172
59.45240256,112.2,152,172
0,0,152,172
0,0,152,172
0,0,152,172
83.51204962,92.4,155,144
46.80266053,48.75,155,144
10.02674698,79.35,155,144
0,0,155,144
0,0,155,144
15.14147458,83,155,196
53.59591056,55.8,155,196
0,0,155,196
0,0,155,196
0,0,155,196
82.13032061,93.4,155,175
42.87541648,104,155,175
31.27998441,113.68,155,175
0,0,155,175
0,0,155,175
